OID_,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OPTPer1000,Field2,LogDist,Field,HispDoub,BelowPovDo,AgeDoub,PovDoub,GEOID_1,Total_count,Optometry_count,Ophthalmology_count,Others_count,NAMESLAD,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured,index,TRACTCE_1,POPULATION_x,Clean_Zip,Full_Address,Optometry,Distances,BlackPerc,AsianPerc,Median_Age,HispPerc,PercVisionDisab,BelowPovertyPerc,Field1,STATEFP_1,COUNTYFP_1,TRACTCE_12,GEOID_12,NAME_1,NAMELSAD_1,MTFCC_1,FUNCSTAT_1,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,Areas,Score,OtherScore,Area
1,17,031,510300,17031510300,5103,Census Tract 5103,G5020,S,2958348.000000000000000,0.000000000000000,+41.7157373,-087.5749771,0.001030927835050,0,7.947989271700000,0,3.100000000000000,3.451770000000000,0.000000000000000,39.899999999999999,17031510300.000000000000000,8,5,3,0,Census Tract 5103,4850,0.870000000000000,25805,47094,15.199999999999999,20.899999999999999,96.700000000000003,3133,510300,4850,60619,1401 E 87TH ST  CHICAGO IL 60619,TRUE,2829.880000000000109,95.379999999999995,0.020000000000000,35.1,3.1,3.45177,39.9,0,17,31,510300,17031510300.000000000000000,5103.000000000000000,Census Tract 5103,G5020,S,2958348,0.000000000000000,41.715737300000001,-87.574977099999998,2958346.702000000048429,22.904143110000000,9.115516417000000,2958346.702000000048429
2,17,031,520100,17031520100,5201,Census Tract 5201,G5020,S,2581898.000000000000000,521681.000000000000000,+41.7211184,-087.5294325,0.000573065902579,1,7.279586071430000,0,5.600000000000000,3.161480000000000,90.400000000000006,10.600000000000000,17031520100.000000000000000,1,1,0,0,Census Tract 5201,1745,20.969999999999999,61875,65211,9.600000000000000,41.399999999999999,71.599999999999994,3138,520100,1745,60617,10527 S AVENUE F  CHICAGO IL 60617,TRUE,1450.390000000000100,7.790000000000000,0.230000000000000,31.5,5.6,3.16148,10.6,1,17,31,520100,17031520100.000000000000000,5201.000000000000000,Census Tract 5201,G5020,S,2581898,521681.000000000000000,41.721118400000002,-87.529432499999999,3103580.637000000104308,6.260806299000000,3.942274774000000,3103580.637000000104308
3,17,031,590700,17031590700,5907,Census Tract 5907,G5020,S,869830.000000000000000,12614.000000000000000,+41.8260539,-087.6627888,0.002642880740010,2,3.691857804670000,0,2.100000000000000,1.603350000000000,70.400000000000006,16.899999999999999,17031590700.000000000000000,8,8,0,0,Census Tract 5907,3027,18.000000000000000,70313,83260,24.300000000000001,20.699999999999999,88.400000000000006,3232,590700,3027,60609,3663 S PAULINA ST  CHICAGO IL 60609,TRUE,40.119999999999997,2.280000000000000,20.809999999999999,35.8,2.1,1.60335,16.9,5,17,31,590700,17031590700.000000000000000,5907.000000000000000,Census Tract 5907,G5020,S,869830,12614.000000000000000,41.826053899999998,-87.662788800000001,882444.048300000024028,181.131177299999990,34.565436929999997,882444.048300000024028
4,17,031,600400,17031600400,6004,Census Tract 6004,G5020,S,327229.000000000000000,0.000000000000000,+41.8417183,-087.6439322,0.043286013497800,3,6.219647548240000,0,3.500000000000000,2.701160000000000,3.900000000000000,21.000000000000000,17031600400.000000000000000,193,186,8,0,Census Tract 6004,4297,24.160000000000000,57637,87231,31.600000000000001,20.300000000000001,88.799999999999997,3233,600400,4297,60616,623 W 25TH PL  CHICAGO IL 60616,TRUE,502.529999999999973,1.070000000000000,63.140000000000001,42.5,3.5,2.70116,21.0,6,17,31,600400,17031600400.000000000000000,6004.000000000000000,Census Tract 6004,G5020,S,327229,0.000000000000000,41.841718299999997,-87.643932199999995,327231.563699999998789,267.594220699999994,45.653206900000001,327231.563699999998789
5,17,031,830600,17031830600,8306,Census Tract 8306,G5020,S,661394.000000000000000,0.000000000000000,+42.0016980,-087.6735738,0.001215805471120,4,6.792960730670000,0,1.200000000000000,2.950150000000000,31.500000000000000,15.900000000000000,17031830600.000000000000000,7,6,1,0,Census Tract 8306,4935,37.280000000000001,59213,81463,42.000000000000000,12.800000000000001,81.000000000000000,2342,830600,4935,60626,1209 W ARTHUR AVE APT 415  CHICAGO IL 60626,TRUE,891.549999999999955,16.469999999999999,6.590000000000000,32.2,1.2,2.95015,15.9,14,17,31,830600,17031830600.000000000000000,8306.000000000000000,Census Tract 8306,G5020,S,661394,0.000000000000000,42.001697999999998,-87.673573800000000,661391.778999999980442,86.412446820000000,24.087169480000000,661391.778999999980442
6,17,031,830800,17031830800,8308,Census Tract 8308,G5020,S,336529.000000000000000,0.000000000000000,+41.9651413,-087.6765775,0.015800415800400,5,6.076781132100000,0,0.000000000000000,2.639110000000000,16.199999999999999,3.900000000000000,17031830800.000000000000000,51,38,12,1,Census Tract 8308,2405,73.099999999999994,79534,103942,75.799999999999997,1.000000000000000,96.000000000000000,2532,830800,2405,60625,4735 N DAMEN AVE  CHICAGO IL 60625,TRUE,435.620000000000005,3.160000000000000,5.990000000000000,32.8,0,2.63911,3.9,15,17,31,830800,17031830800.000000000000000,8308.000000000000000,Census Tract 8308,G5020,S,336529,0.000000000000000,41.965141299999999,-87.676577499999993,336534.012300000002142,128.109546899999998,29.995833659999999,336534.012300000002142
7,17,031,830700,17031830700,8307,Census Tract 8307,G5020,S,861986.000000000000000,7945.000000000000000,+41.9583035,-087.6607646,0.006490264603100,6,5.225823733650000,0,3.900000000000000,2.269550000000000,11.600000000000000,24.699999999999999,17031830700.000000000000000,35,26,9,0,Census Tract 8307,4006,44.659999999999997,60432,82024,49.299999999999997,7.300000000000000,87.500000000000000,2500,830700,4006,60640,1056 W WILSON AVE  CHICAGO IL 60640,TRUE,186.009999999999991,32.229999999999997,7.410000000000000,34.9,3.9,2.26955,24.7,16,17,31,830700,17031830700.000000000000000,8307.000000000000000,Census Tract 8307,G5020,S,861986,7945.000000000000000,41.958303500000000,-87.660764599999993,869929.520000000018626,192.247990499999986,44.717934210000003,869929.520000000018626
8,17,031,830900,17031830900,8309,Census Tract 8309,G5020,S,990467.000000000000000,47216.000000000000000,+41.9284245,-087.6849065,0.019830949284800,7,5.276946342830000,0,0.400000000000000,2.291750000000000,22.800000000000001,5.400000000000000,17031830900.000000000000000,70,61,9,0,Census Tract 8309,3076,58.750000000000000,123083,154863,70.599999999999994,5.500000000000000,94.799999999999997,2772,830900,3076,60647,2457 W LOGAN BLVD UNIT 2  CHICAGO IL 60647,TRUE,195.770000000000010,4.360000000000000,6.730000000000000,31.6,0.4,2.29175,5.4,17,17,31,830900,17031830900.000000000000000,8309.000000000000000,Census Tract 8309,G5020,S,990467,47216.000000000000000,41.928424499999998,-87.684906499999997,1037682.942999999970198,283.816253800000027,60.573909110000002,1037682.942999999970198
9,17,031,835200,17031835200,8352,Census Tract 8352,G5020,S,988538.000000000000000,0.000000000000000,+41.7966437,-087.7452866,0.002944062806670,8,3.835443255870000,0,1.300000000000000,1.665710000000000,67.299999999999997,7.200000000000000,17031835200.000000000000000,9,6,3,0,Census Tract 8352,2038,36.750000000000000,75750,86222,16.000000000000000,21.500000000000000,85.500000000000000,3197,835200,2038,60638,5460 S ARCHER AVE  CHICAGO IL 60638,TRUE,46.310000000000002,3.430000000000000,2.260000000000000,38.7,1.3,1.66571,7.2,18,17,31,835200,17031835200.000000000000000,8352.000000000000000,Census Tract 8352,G5020,S,988538,0.000000000000000,41.796643699999997,-87.745286600000000,988536.230100000044331,38.396531719999999,10.787003820000001,988536.230100000044331
10,17,031,839900,17031839900,8399,Census Tract 8399,G5020,S,1153324.000000000000000,13899.000000000000000,+41.8273459,-087.6484540,0.038591740013500,9,6.079619727660000,0,2.000000000000000,2.640350000000000,27.300000000000001,10.000000000000000,17031839900.000000000000000,178,171,8,0,Census Tract 8399,4431,52.990000000000002,92759,107167,47.399999999999999,13.300000000000001,96.700000000000003,2983,839900,4431,60609,3759 S MORGAN ST UNIT A  CHICAGO IL 60609,TRUE,436.860000000000014,3.200000000000000,21.780000000000001,37.2,2,2.64035,10.0,19,17,31,839900,17031839900.000000000000000,8399.000000000000000,Census Tract 8399,G5020,S,1153324,13899.000000000000000,41.827345899999997,-87.648454000000001,1167220.975000000093132,235.630336099999994,42.568216950000000,1167220.975000000093132
11,17,031,839700,17031839700,8397,Census Tract 8397,G5020,S,618387.000000000000000,13451.000000000000000,+41.8336508,-087.6519488,0.042684268426800,10,5.230335978870000,0,0.900000000000000,2.271510000000000,36.799999999999997,7.200000000000000,17031839700.000000000000000,201,194,8,0,Census Tract 8397,4545,43.210000000000001,82670,116735,50.399999999999999,15.000000000000000,88.900000000000006,3901,839700,4545,60608,3440 S MORGAN ST STE 1  CHICAGO IL 60608,TRUE,186.860000000000014,3.540000000000000,23.410000000000000,34.6,0.9,2.27151,7.2,20,17,31,839700,17031839700.000000000000000,8397.000000000000000,Census Tract 8397,G5020,S,618387,13451.000000000000000,41.833650800000001,-87.651948800000000,631842.064400000032037,224.659936100000010,41.067259780000001,631842.064400000032037
12,17,031,839800,17031839800,8398,Census Tract 8398,G5020,S,266175.000000000000000,0.000000000000000,+41.8350674,-087.6431623,0.069247952345500,11,6.518470660110000,0,0.300000000000000,2.830940000000000,20.100000000000001,12.800000000000001,17031839800.000000000000000,193,186,8,0,Census Tract 8398,2686,43.039999999999999,71750,81752,52.600000000000001,12.400000000000000,90.500000000000000,2977,839800,2686,60616,344 W 31ST ST  CHICAGO IL 60616,TRUE,677.539999999999964,1.340000000000000,37.039999999999999,33.5,0.3,2.83094,12.8,21,17,31,839800,17031839800.000000000000000,8398.000000000000000,Census Tract 8398,G5020,S,266175,0.000000000000000,41.835067400000000,-87.643162300000000,266175.163899999985006,271.840375400000028,46.853273190000003,266175.163899999985006
13,17,031,834800,17031834800,8348,Census Tract 8348,G5020,S,599866.000000000000000,0.000000000000000,+41.7836336,-087.6450883,0.000000000000000,12,7.546917215630000,0,11.100000000000000,3.277580000000000,7.300000000000000,38.100000000000001,17031834800.000000000000000,1,0,1,0,Census Tract 8348,1753,1.080000000000000,18973,33386,17.600000000000001,12.100000000000000,76.599999999999994,3029,834800,1753,60609,5401 S WENTWORTH AVE STE 14B  CHICAGO IL 60609,TRUE,1894.890000000000100,89.620000000000005,0.340000000000000,46.1,11.1,3.27758,38.1,22,17,31,834800,17031834800.000000000000000,8348.000000000000000,Census Tract 8348,G5020,S,599866,0.000000000000000,41.783633600000002,-87.645088299999998,599863.813500000047497,118.870048999999995,22.803484829999999,599863.813500000047497
14,17,031,834700,17031834700,8347,Census Tract 8347,G5020,S,657991.000000000000000,0.000000000000000,+41.7906903,-087.6450334,0.000000000000000,13,7.228913986900000,0,16.100000000000001,3.139480000000000,2.400000000000000,28.100000000000001,17031834700.000000000000000,1,0,1,0,Census Tract 8347,1759,1.990000000000000,24412,33985,26.399999999999999,18.300000000000001,81.700000000000003,3028,834700,1759,60609,5401 S WENTWORTH AVE STE 14B  CHICAGO IL 60609,TRUE,1378.720000000000027,88.180000000000007,0.230000000000000,41,16.1,3.13948,28.1,23,17,31,834700,17031834700.000000000000000,8347.000000000000000,Census Tract 8347,G5020,S,657991,0.000000000000000,41.790690300000001,-87.645033400000003,657991.937299999990501,143.707657699999999,29.054567360000000,657991.937299999990501
15,17,031,832000,17031832000,8320,Census Tract 8320,G5020,S,167585.000000000000000,0.000000000000000,+41.9462941,-087.6542982,0.016973811833200,14,5.201852593410000,0,2.000000000000000,2.259140000000000,5.900000000000000,9.600000000000000,17031832000.000000000000000,46,35,9,2,Census Tract 8320,2062,82.099999999999994,126875,161281,84.599999999999994,1.700000000000000,97.599999999999994,2591,832000,2062,60657,3547 N FREMONT ST #1N CHICAGO IL 60657,TRUE,181.610000000000014,2.720000000000000,4.560000000000000,30.4,2,2.25914,9.6,30,17,31,832000,17031832000.000000000000000,8320.000000000000000,Census Tract 8320,G5020,S,167585,0.000000000000000,41.946294100000003,-87.654298199999999,167584.178000000014435,199.357149700000008,49.312489769999999,167584.178000000014435
16,17,031,832500,17031832500,8325,Census Tract 8325,G5020,S,742894.000000000000000,38645.000000000000000,+41.9222304,-087.6647962,0.008698260347930,15,5.806549988690000,0,1.300000000000000,2.521750000000000,7.800000000000000,12.500000000000000,17031832500.000000000000000,36,29,7,0,Census Tract 8325,3334,76.810000000000002,149000,214179,74.599999999999994,7.300000000000000,100.000000000000000,3889,832500,3334,60614,1449 W FULLERTON AVE  CHICAGO IL 60614,TRUE,332.470000000000027,8.190000000000000,5.580000000000000,31.5,1.3,2.52175,12.5,31,17,31,832500,17031832500.000000000000000,8325.000000000000000,Census Tract 8325,G5020,S,742894,38645.000000000000000,41.922230399999997,-87.664796199999998,781539.612199999974109,272.613246699999991,57.867790700000000,781539.612199999974109
17,17,031,832300,17031832300,8323,Census Tract 8323,G5020,S,803547.000000000000000,37059.000000000000000,+41.9198264,-087.6727807,0.030671859785800,16,5.921993000990000,0,0.500000000000000,2.571890000000000,19.800000000000001,7.000000000000000,17031832300.000000000000000,78,63,14,1,Census Tract 8323,2054,73.859999999999999,117015,170606,76.599999999999994,0.700000000000000,95.000000000000000,3888,832300,2054,60647,2157 N DAMEN AVE UNIT 308  CHICAGO IL 60647,TRUE,373.149999999999977,2.680000000000000,7.690000000000000,31.2,0.5,2.57189,7.0,32,17,31,832300,17031832300.000000000000000,8323.000000000000000,Census Tract 8323,G5020,S,803547,37059.000000000000000,41.919826399999998,-87.672780700000004,840610.010200000018813,336.797767200000010,68.667338400000006,840610.010200000018813
