GEOID,POPULATION,TRACTCE
17001000100,4644,100
17001000201,2067,201
17001000202,2870,202
17001000400,3793,400
17001000500,1719,500
17001000600,3590,600
17001000700,1243,700
17001000800,2455,800
17001000900,2572,900
17001001001,3245,1001
17001001002,3109,1002
17001001100,8015,1100
17001010100,4403,10100
17001010200,3634,10200
17001010301,2800,10301
17001010302,3062,10302
17001010400,3605,10400
17001010500,3069,10500
17001010600,5842,10600
17003957600,1820,957600
17003957700,1491,957700
17003957800,1030,957800
17003957900,899,957900
17005951200,2924,951200
17005951300,6883,951300
17005951400,2918,951400
17005951500,4000,951500
17007010101,4396,10101
17007010102,3756,10102
17007010200,5640,10200
17007010300,6674,10300
17007010400,6912,10400
17007010501,4501,10501
17007010502,5795,10502
17007010601,3847,10601
17007010603,6380,10603
17007010604,5547,10604
17009970400,2349,970400
17009970500,3895,970500
17011964700,2866,964700
17011964800,3231,964800
17011964900,2635,964900
17011965000,3668,965000
17011965100,4224,965100
17011965200,3474,965200
17011965300,3370,965300
17011965400,3555,965400
17011965500,3506,965500
17011965600,2715,965600
17013951200,2306,951200
17013951300,2131,951300
17015960100,3773,960100
17015960200,1976,960200
17015960300,3000,960300
17015960400,1944,960400
17015960500,2461,960500
17015960600,2548,960600
17017960100,2251,960100
17017960200,2501,960200
17017960300,3054,960300
17017960400,2545,960400
17017960500,2691,960500
17019000200,2266,200
17019000301,6593,301
17019000302,3830,302
17019000401,5125,401
17019000402,4001,402
17019000500,3608,500
17019000700,3290,700
17019000800,6052,800
17019000901,4731,901
17019000902,6833,902
17019001000,4366,1000
17019001100,3519,1100
17019001201,6611,1201
17019001203,4414,1203
17019001204,3453,1204
17019001205,7271,1205
17019001206,1886,1206
17019001301,5796,1301
17019001302,4892,1302
17019001400,7616,1400
17019005300,3800,5300
17019005401,4531,5401
17019005402,3170,5402
17019005500,5289,5500
17019005601,6088,5601
17019005602,2441,5602
17019005701,5030,5701
17019005702,1559,5702
17019005800,3479,5800
17019005901,2722,5901
17019005902,2402,5902
17019006000,3218,6000
17019010100,4529,10100
17019010204,4377,10204
17019010300,3494,10300
17019010400,4498,10400
17019010500,4593,10500
17019010601,5749,10601
17019010603,7972,10603
17019010604,2451,10604
17019010701,3875,10701
17019010702,3767,10702
17019010800,4313,10800
17019010901,6029,10901
17019010902,4215,10902
17019011001,2072,11001
17019011002,1888,11002
17019011100,2161,11100
17021958100,2835,958100
17021958200,3593,958200
17021958300,3975,958300
17021958400,3719,958400
17021958500,2138,958500
17021958600,2155,958600
17021958700,5819,958700
17021958800,2448,958800
17021958900,2554,958900
17021959000,4796,959000
17023060100,4696,60100
17023060200,4312,60200
17023060300,4850,60300
17023060400,1597,60400
17025971900,2376,971900
17025972000,2829,972000
17025972100,5155,972100
17025972200,2928,972200
17027900100,6512,900100
17027900200,1910,900200
17027900300,6928,900300
17027900401,1201,900401
17027900403,3921,900403
17027900404,1403,900404
17027900500,5664,900500
17027900601,2460,900601
17027900602,6900,900602
17029000100,2658,100
17029000200,5556,200
17029000300,4293,300
17029000400,2629,400
17029000500,6017,500
17029000600,3228,600
17029000701,2806,701
17029000702,2767,702
17029000800,2831,800
17029000900,4109,900
17029001000,3177,1000
17029001100,3464,1100
17029001200,3328,1200
17031010100,4905,10100
17031010201,6939,10201
17031010202,2742,10202
17031010300,6305,10300
17031010400,5079,10400
17031010501,4206,10501
17031010502,3278,10502
17031010503,2565,10503
17031010600,6225,10600
17031010701,3673,10701
17031010702,4776,10702
17031020100,4202,20100
17031020200,7128,20200
17031020301,5261,20301
17031020302,5010,20302
17031020400,4435,20400
17031020500,6599,20500
17031020601,6699,20601
17031020602,4662,20602
17031020701,1879,20701
17031020702,7717,20702
17031020801,5648,20801
17031020802,7546,20802
17031020901,5848,20901
17031020902,4488,20902
17031030101,3687,30101
17031030102,3121,30102
17031030103,2104,30103
17031030104,3521,30104
17031030200,5627,30200
17031030300,3148,30300
17031030400,2597,30400
17031030500,6183,30500
17031030601,3293,30601
17031030603,2045,30603
17031030604,3737,30604
17031030701,1671,30701
17031030702,2318,30702
17031030703,3075,30703
17031030706,2933,30706
17031030800,4284,30800
17031030900,2952,30900
17031031000,3868,31000
17031031100,4691,31100
17031031200,5541,31200
17031031300,6719,31300
17031031400,5221,31400
17031031501,4155,31501
17031031502,4712,31502
17031031700,6294,31700
17031031800,1910,31800
17031031900,2522,31900
17031032100,7543,32100
17031040100,3905,40100
17031040201,6408,40201
17031040202,7318,40202
17031040300,2928,40300
17031040401,3129,40401
17031040402,4746,40402
17031040600,2530,40600
17031040700,3426,40700
17031040800,1636,40800
17031040900,2063,40900
17031050100,2568,50100
17031050200,5309,50200
17031050300,2671,50300
17031050500,5117,50500
17031050600,2443,50600
17031050700,1513,50700
17031050800,1406,50800
17031050900,1426,50900
17031051000,1538,51000
17031051100,1599,51100
17031051200,1581,51200
17031051300,2907,51300
17031051400,2492,51400
17031060100,2830,60100
17031060200,2313,60200
17031060300,3076,60300
17031060400,3709,60400
17031060500,1374,60500
17031060800,5295,60800
17031060900,7104,60900
17031061000,2279,61000
17031061100,1367,61100
17031061200,1932,61200
17031061500,1797,61500
17031061800,1051,61800
17031061901,3625,61901
17031061902,4665,61902
17031062000,2843,62000
17031062100,3817,62100
17031062200,3244,62200
17031062300,1667,62300
17031062400,1673,62400
17031062500,1675,62500
17031062600,2477,62600
17031062700,2955,62700
17031062800,3851,62800
17031062900,4125,62900
17031063000,3417,63000
17031063100,2376,63100
17031063200,6900,63200
17031063301,2833,63301
17031063302,4577,63302
17031063303,1274,63303
17031063400,2417,63400
17031070101,4171,70101
17031070102,3063,70102
17031070103,1845,70103
17031070200,4200,70200
17031070300,4349,70300
17031070400,3250,70400
17031070500,3322,70500
17031070600,3449,70600
17031070700,3699,70700
17031071000,4357,71000
17031071100,3091,71100
17031071200,2973,71200
17031071300,3893,71300
17031071400,4962,71400
17031071500,6282,71500
17031071600,1793,71600
17031071700,1660,71700
17031071800,2652,71800
17031080100,6388,80100
17031080201,3375,80201
17031080202,4225,80202
17031080300,5499,80300
17031080400,4569,80400
17031081000,8746,81000
17031081100,4187,81100
17031081201,5080,81201
17031081202,3357,81202
17031081300,5540,81300
17031081401,2508,81401
17031081402,7052,81402
