,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Areas,Score,OtherScore,Area
0,17,31,510300,17031510300,5103,Census Tract 5103,G5020,S,2958348,0,41.7157373,-87.5749771,2958346.702,22.90414311,9.115516417,2958346.702
1,17,31,520100,17031520100,5201,Census Tract 5201,G5020,S,2581898,521681,41.7211184,-87.5294325,3103580.637,6.260806299,3.942274774,3103580.637
2,17,97,863006,17097863006,8630.06,Census Tract 8630.06,G5020,S,207264,0,42.300341,-87.8538353,207266.0669,32.09326856,7.086688202,207266.0669
3,17,97,863004,17097863004,8630.04,Census Tract 8630.04,G5020,S,4440910,0,42.3046642,-87.8642654,4440909.391,43.64216038,10.32469075,4440909.391
4,17,97,866200,17097866200,8662,Census Tract 8662,G5020,S,32717452,584438,42.2360556,-87.9107093,33301877.16,71.86754932,20.32705664,33301877.16
5,17,31,590700,17031590700,5907,Census Tract 5907,G5020,S,869830,12614,41.8260539,-87.6627888,882444.0483,181.1311773,34.56543693,882444.0483
6,17,31,600400,17031600400,6004,Census Tract 6004,G5020,S,327229,0,41.8417183,-87.6439322,327231.5637,267.5942207,45.6532069,327231.5637
7,17,19,11100,17019011100,111,Census Tract 111,G5020,S,1071560,6653,40.114106,-88.213607,1078208.869,27.64009964,4.708803489,1078208.869
8,17,105,960700,17105960700,9607,Census Tract 9607,G5020,S,12690819,0,40.8666809,-88.6415491,12690819.84,3,0,12690819.84
9,17,105,960100,17105960100,9601,Census Tract 9601,G5020,S,6505878,0,41.0944552,-88.4274431,6505876.276,0,0,6505876.276
10,17,31,824115,17031824115,8241.15,Census Tract 8241.15,G5020,S,2683154,42699,41.6238866,-87.8445146,2725853.785,79.47605536,23.84977983,2725853.785
11,17,31,825303,17031825303,8253.03,Census Tract 8253.03,G5020,S,1920870,0,41.5816302,-87.7858574,1920868.232,98.15893052,34.27693955,1920868.232
12,17,31,830007,17031830007,8300.07,Census Tract 8300.07,G5020,S,3813487,0,41.481612,-87.7228759,3813485.455,35.14467304,13.78936661,3813485.455
13,17,31,813801,17031813801,8138.01,Census Tract 8138.01,G5020,S,841626,0,41.8503452,-87.7434594,841628.0038,129.4727838,29.92357358,841628.0038
14,17,31,830600,17031830600,8306,Census Tract 8306,G5020,S,661394,0,42.001698,-87.6735738,661391.779,86.41244682,24.08716948,661391.779
15,17,31,830800,17031830800,8308,Census Tract 8308,G5020,S,336529,0,41.9651413,-87.6765775,336534.0123,128.1095469,29.99583366,336534.0123
16,17,31,830700,17031830700,8307,Census Tract 8307,G5020,S,861986,7945,41.9583035,-87.6607646,869929.52,192.2479905,44.71793421,869929.52
17,17,31,830900,17031830900,8309,Census Tract 8309,G5020,S,990467,47216,41.9284245,-87.6849065,1037682.943,283.8162538,60.57390911,1037682.943
18,17,31,835200,17031835200,8352,Census Tract 8352,G5020,S,988538,0,41.7966437,-87.7452866,988536.2301,38.39653172,10.78700382,988536.2301
19,17,31,839900,17031839900,8399,Census Tract 8399,G5020,S,1153324,13899,41.8273459,-87.648454,1167220.975,235.6303361,42.56821695,1167220.975
20,17,31,839700,17031839700,8397,Census Tract 8397,G5020,S,618387,13451,41.8336508,-87.6519488,631842.0644,224.6599361,41.06725978,631842.0644
21,17,31,839800,17031839800,8398,Census Tract 8398,G5020,S,266175,0,41.8350674,-87.6431623,266175.1639,271.8403754,46.85327319,266175.1639
22,17,31,834800,17031834800,8348,Census Tract 8348,G5020,S,599866,0,41.7836336,-87.6450883,599863.8135,118.870049,22.80348483,599863.8135
23,17,31,834700,17031834700,8347,Census Tract 8347,G5020,S,657991,0,41.7906903,-87.6450334,657991.9373,143.7076577,29.05456736,657991.9373
24,17,89,850500,17089850500,8505,Census Tract 8505,G5020,S,12571708,629481,42.0861713,-88.2677677,13201191.3,49.13643399,9.143838679,13201191.3
25,17,89,850600,17089850600,8506,Census Tract 8506,G5020,S,21017817,112132,42.0891381,-88.3228481,21129947.2,52.37483017,9.286630037,21129947.2
26,17,89,850703,17089850703,8507.03,Census Tract 8507.03,G5020,S,106390668,0,42.0246275,-88.533317,106390682.9,2.07888369,0.226157624,106390682.9
27,17,89,850301,17089850301,8503.01,Census Tract 8503.01,G5020,S,3751042,42166,42.1296428,-88.2723355,3793206.578,44.30656887,10.05189026,3793206.578
28,17,111,871108,17111871108,8711.08,Census Tract 8711.08,G5020,S,3606790,37608,42.1969259,-88.3713137,3644400.322,44.03665312,8.967531952,3644400.322
29,17,111,871208,17111871208,8712.08,Census Tract 8712.08,G5020,S,1815130,19513,42.1953143,-88.3465571,1834639.23,47.02614879,10.21602754,1834639.23
