STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,geometry
17,1,100,4644,39.943585,-91.362273,POINT (372954.65831727895 2470.037624387559)
17,1,201,2067,39.953942,-91.387764,POINT (370846.94278818264 3590.2409235703535)
17,1,202,2870,39.941336,-91.385826,POINT (371074.9904133709 2112.6464096053232)
17,1,400,3793,39.948935,-91.406851,POINT (369342.0601405434 2925.8189990725773)
17,1,500,1719,39.944326,-91.398339,POINT (370052.36507215997 2416.0002145727967)
17,1,600,3590,39.931661,-91.383321,POINT (371331.8391656374 982.6083880482508)
17,1,700,1243,39.933323,-91.405205,POINT (369563.53436620074 1092.898033512537)
17,1,800,2455,39.920521,-91.40696,POINT (369495.6213049181 -422.19407124743384)
17,1,900,2572,39.91866,-91.399586,POINT (370099.01915657055 -612.6783128361589)
17,1,1001,3245,39.921492,-91.385775,POINT (371192.9724517043 -225.03614537164694)
17,1,1002,3109,39.911392,-91.387554,POINT (371107.91330764117 -1421.894193378053)
17,1,1100,8015,39.916877,-91.359969,POINT (373293.92476882733 -667.400871681394)
17,1,10100,4403,40.096076,-91.293528,POINT (377585.7485136979 20708.76484737423)
17,1,10200,3634,40.067117,-91.03018,POINT (398873.52113560564 18375.36082976441)
17,1,10301,2800,39.903906,-91.062678,POINT (397269.87401300005 -987.1274225045718)
17,1,10302,3062,39.837318,-91.205754,POINT (386164.58272975736 -9421.705700642475)
17,1,10400,3605,39.96893,-91.285611,POINT (378965.9743915325 5760.026593185021)
17,1,10500,3069,39.977674,-91.394092,POINT (370202.5838699341 6361.558249165637)
17,1,10600,5842,39.885973,-91.343382,POINT (374806.2686204745 -4242.664733625486)
17,3,957600,1820,37.275588,-89.355653,POINT (556098.4814837864 -301312.1928461749)
17,3,957700,1491,37.185095,-89.367281,POINT (555870.2066326019 -311987.26140757307)
17,3,957800,1030,37.020483,-89.187382,POINT (572309.9135380598 -330205.7554635168)
17,3,957900,899,37.003089,-89.175624,POINT (573442.9112450792 -332172.42144152353)
17,5,951200,2924,38.938227,-89.351614,POINT (542726.8773200758 -106132.36073987592)
17,5,951300,6883,38.887028,-89.405949,POINT (538717.7500918205 -112459.16635610338)
17,5,951400,2918,38.936623,-89.539893,POINT (527394.1345884708 -107383.55752007267)
17,5,951500,4000,38.803958,-89.457037,POINT (535225.483814013 -122510.3874486281)
17,7,10101,4396,42.267578,-88.844284,POINT (554435.056075515 288684.1297347673)
17,7,10102,3756,42.264417,-88.856422,POINT (553524.4888418803 288240.74127904983)
17,7,10200,5640,42.251559,-88.83288,POINT (555459.9432562103 286863.4106960843)
17,7,10300,6674,42.243996,-88.849442,POINT (554246.1523015593 285875.34801816626)
17,7,10400,6912,42.239178,-88.829081,POINT (555864.3683872176 285426.8752571813)
17,7,10501,4501,42.305592,-88.911995,POINT (548862.9921514742 292769.39493750525)
17,7,10502,5795,42.294606,-88.86131,POINT (552878.0789148145 291769.39818783285)
17,7,10601,3847,42.409965,-88.789242,POINT (557413.0015366875 305784.28333937336)
17,7,10603,6380,42.351815,-88.873138,POINT (551456.0006343432 298441.63414296665)
17,7,10604,5547,42.352544,-88.868326,POINT (551821.1622844392 298555.53723781864)
17,9,970400,2349,39.949078,-90.7267,POINT (423980.31411272526 5788.595064768042)
17,9,970500,3895,39.976238,-90.760063,POINT (421123.6332605851 8838.664972386785)
17,11,964700,2866,41.517762,-89.318149,POINT (524021.00382790435 197639.44187995722)
17,11,964800,3231,41.520778,-89.651504,POINT (497894.0789420689 196198.08156165178)
17,11,964900,2635,41.405934,-89.456303,POINT (514114.7397066924 183706.90007597973)
17,11,965000,3668,41.352935,-89.308287,POINT (526166.1967304954 178274.82280005672)
17,11,965100,4224,41.352077,-89.199464,POINT (534715.594974433 178782.6599424922)
17,11,965200,3474,41.325425,-89.205015,POINT (534505.3005370812 175611.79643070695)
17,11,965300,3370,41.377978,-89.465678,POINT (513606.753213218 180362.1586968902)
17,11,965400,3555,41.364468,-89.464542,POINT (513805.81639743637 178776.5130494503)
17,11,965500,3506,41.311453,-89.521087,POINT (509794.88424766064 172224.8205987124)
17,11,965600,2715,41.332534,-89.747501,POINT (491841.6630544162 173512.7474641851)
17,13,951200,2306,39.227972,-90.65354,POINT (434648.86940061324 -78769.79921662866)
17,13,951300,2131,39.009404,-90.62167,POINT (438697.46875683195 -104337.58171496751)
17,15,960100,3773,42.134978,-89.811375,POINT (480640.4038860417 267774.81424921023)
17,15,960200,1976,42.082984,-90.078318,POINT (460319.32478120824 260319.1045430006)
17,15,960300,3000,42.09404,-90.141309,POINT (455348.3354553343 261318.6876852653)
17,15,960400,1944,42.09227,-89.972625,POINT (468454.63352121564 261931.8672389534)
17,15,960500,2461,41.993758,-89.797494,POINT (482807.8683495119 251195.33521563569)
17,15,960600,2548,41.975147,-90.078533,POINT (461097.97031782754 247601.8154912679)
17,17,960100,2251,39.944919,-90.05605,POINT (477865.5166171415 8488.926918268364)
17,17,960200,2501,39.935983,-90.243744,POINT (462858.62065870344 6505.616614362258)
17,17,960300,3054,39.989302,-90.39044,POINT (450704.8515454584 12076.809952589092)
17,17,960400,2545,40.008599,-90.434287,POINT (447052.4251832139 14141.537915696677)
17,17,960500,2691,40.014637,-90.428496,POINT (447475.2010339281 14879.891609930633)
17,19,200,2266,40.121677,-88.232605,POINT (622465.7420050686 39869.459758182275)
17,19,301,6593,40.110531,-88.235252,POINT (622361.675515896 38541.53171502101)
17,19,302,3830,40.114443,-88.233078,POINT (622497.7660668679 39015.77784779644)
17,19,401,5125,40.106773,-88.233068,POINT (622572.6194863674 38114.00925686569)
17,19,402,4001,40.106765,-88.238448,POINT (622142.4173059759 38077.748703375764)
17,19,500,3608,40.106635,-88.250569,POINT (621174.2539502509 37982.977825583635)
17,19,700,3290,40.129483,-88.245162,POINT (621386.4420803776 40704.923600059185)
17,19,800,6052,40.145794,-88.255968,POINT (620365.4741175867 42552.071426685965)
17,19,901,4731,40.130658,-88.268958,POINT (619472.6383554796 40687.34732682805)
17,19,902,6833,40.126364,-88.300546,POINT (616988.2355273288 39976.42802510882)
17,19,1000,4366,40.116727,-88.272346,POINT (619335.5932625764 39027.13603496278)
17,19,1100,3519,40.106716,-88.268534,POINT (619736.6456544128 37874.92143531596)
17,19,1201,6611,40.106351,-88.289067,POINT (618097.9022758565 37697.9485869548)
17,19,1203,4414,40.091142,-88.284679,POINT (618594.7289424563 35938.24369883333)
17,19,1204,3453,40.076056,-88.290058,POINT (618308.9907729359 34129.31535924731)
17,19,1205,7271,40.093022,-88.318534,POINT (615868.3262234476 35938.87300505901)
17,19,1206,1886,40.092248,-88.304907,POINT (616965.8882874477 35936.46995228779)
17,19,1301,5796,40.09128,-88.262514,POINT (620366.5922890656 36099.31139040296)
17,19,1302,4892,40.071748,-88.259279,POINT (620813.3280407131 33823.941806670475)
17,19,1400,7616,40.082338,-88.240687,POINT (622198.9544667555 35190.97295974308)
17,19,5300,3800,40.123468,-88.221908,POINT (623303.7410251756 40150.33180691929)
17,19,5401,4531,40.125824,-88.196725,POINT (625294.3950292179 40593.19046527298)
17,19,5402,3170,40.135833,-88.18135,POINT (626426.3562883127 41871.52824998873)
17,19,5500,5289,40.110966,-88.184171,POINT (626442.4534193978 38929.12827523755)
17,19,5601,6088,40.10195,-88.187199,POINT (626287.8694943052 37849.073356965426)
17,19,5602,2441,40.091677,-88.179639,POINT (626992.3827025192 36691.222500757154)
17,19,5701,5030,40.091683,-88.198557,POINT (625479.0158262249 36566.956565672466)
17,19,5702,1559,40.077796,-88.189606,POINT (626329.8604769247 34993.32879798608)
17,19,5800,3479,40.106168,-88.213481,POINT (624144.9792850763 38171.67094462779)
17,19,5901,2722,40.104221,-88.220411,POINT (623609.5672289591 37897.14144352864)
17,19,5902,2402,40.110234,-88.220734,POINT (623525.5865777872 38602.01180803753)
17,19,6000,3218,40.097058,-88.218637,POINT (623820.737224098 37066.610359058985)
17,19,10100,4529,40.317899,-88.144023,POINT (627631.9817678025 63526.863830153314)
17,19,10204,4377,40.308731,-88.148124,POINT (627394.594380484 62421.61012036123)
17,19,10300,3494,40.296142,-88.143785,POINT (627863.4675676392 60969.95451906541)
17,19,10400,4498,40.297271,-88.097197,POINT (631567.0531241286 61412.181715086655)
17,19,10500,4593,40.301931,-88.352381,POINT (611174.2430624142 60287.565430892886)
17,19,10601,5749,40.19981,-88.410696,POINT (607487.5002197275 47902.163753907895)
17,19,10603,7972,40.193347,-88.379933,POINT (610005.8645493792 47339.61864599589)
17,19,10604,2451,40.14794,-88.297335,POINT (617038.3777375439 42534.43497661098)
17,19,10701,3875,40.114406,-88.033598,POINT (638448.734954959 40338.1001081222)
17,19,10702,3767,40.130245,-88.018069,POINT (639533.1804317646 42304.79785749628)
17,19,10800,4313,40.000609,-88.03372,POINT (639565.7604815185 26960.175477227345)
17,19,10901,6029,40.006272,-88.223962,POINT (624272.3065461669 26357.757644267433)
17,19,10902,4215,39.97836,-88.306979,POINT (617889.1876533882 22532.305131166187)
17,19,11001,2072,40.119795,-88.251115,POINT (621003.8201477666 39526.77394358759)
17,19,11002,1888,40.115796,-88.248037,POINT (621288.4806881635 39076.731432546294)
17,19,11100,2161,40.114117,-88.217439,POINT (623751.5291016996 39080.24429295531)
17,21,958100,2835,39.700201,-89.334439,POINT (537816.8585746564 -16443.443532144094)
17,21,958200,3593,39.584264,-89.408734,POINT (532781.7580680543 -30500.21153300613)
17,21,958300,3975,39.557363,-89.299972,POINT (541782.6085175565 -33047.75384536977)
17,21,958400,3719,39.546677,-89.305369,POINT (541435.8178866028 -34335.346520279665)
17,21,958500,2138,39.548176,-89.285257,POINT (543047.1735592679 -34044.01506568608)
17,21,958600,2155,39.610041,-89.170813,POINT (551761.8054974333 -26107.531295096982)
17,21,958700,5819,39.482569,-89.152647,POINT (554311.5861581247 -40991.57368804092)
17,21,958800,2448,39.384201,-89.07529,POINT (561409.0667062851 -52101.91211571043)
17,21,958900,2554,39.391472,-89.085481,POINT (560521.8552490554 -51307.40268643876)
17,21,959000,4796,39.481988,-89.34112,POINT (539084.4563065072 -42146.807125688785)
17,23,60100,4696,39.355315,-87.680269,POINT (674540.3728887857 -46401.93487295248)
17,23,60200,4312,39.391642,-87.694336,POINT (673028.0911964898 -42236.263378413096)
17,23,60300,4850,39.310289,-87.949852,POINT (653186.9294529544 -53577.27620847161)
17,23,60400,1597,39.357162,-87.945045,POINT (653107.1434617405 -48039.115584784355)
17,25,971900,2376,38.844808,-88.491771,POINT (613650.6456848211 -111862.56882796426)
17,25,972000,2829,38.749813,-88.508947,POINT (613133.0361882194 -123128.01169557028)
17,25,972100,5155,38.671103,-88.487301,POINT (615634.8976307949 -132228.7203588065)
17,25,972200,2928,38.656609,-88.483243,POINT (616101.9390083943 -133903.90472071493)
17,27,900100,6512,38.611379,-89.648572,POINT (521099.8527511812 -146205.82545915016)
17,27,900200,1910,38.694867,-89.519032,POINT (531039.8598395273 -135677.5329533511)
17,27,900300,6928,38.61329,-89.507477,POINT (532642.6162311973 -145197.12991286465)
17,27,900401,1201,38.630056,-89.224861,POINT (555648.6119542962 -141605.3845486669)
17,27,900403,3921,38.607448,-89.371501,POINT (543828.068162163 -145111.39708430378)
