,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Score,Areas,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured
1136,40,1,376600,40001376600,3766,Census Tract 3766,G5020,S,205931994,2861371,36.1119482,-94.6588008,0.194632697,208793351.9,2331,57.06,35814,53186,9.3,15,76
1135,40,1,376700,40001376700,3767,Census Tract 3767,G5020,S,361464360,1471059,36.0093076,-94.6623452,0.022552282,362935430.6,4654,50.52,44746,52684,7.4,15.1,76.3
1138,40,1,376800,40001376800,3768,Census Tract 3768,G5020,S,476998539,3114628,35.8021662,-94.7315418,0.321125045,480113181.7,3848,35.03,44732,59727,14.5,17.3,74.3
1134,40,1,376900,40001376900,3769,Census Tract 3769,G5020,S,39833657,231548,35.8117205,-94.6393417,2,40065207.6,4305,28.18,27524,36742,11.1,28.4,76.6
1137,40,1,377000,40001377000,3770,Census Tract 3770,G5020,S,402109229,1194105,35.7647281,-94.5749495,0.433162022,403303342.8,4357,32.2,38914,51809,10.7,19.2,71.1
1053,40,3,955600,40003955600,9556,Census Tract 9556,G5020,S,1095591879,37090369,36.8508289,-98.2983545,0.096694442,1132682320,1445,89.97,63889,76631,34.1,10.6,88.8
1055,40,3,955700,40003955700,9557,Census Tract 9557,G5020,S,297904080,179363,36.7430512,-98.4407255,0.671349019,298083453.3,1342,88.3,74074,79432,29.3,6.2,89.4
1054,40,3,956000,40003956000,9560,Census Tract 9560,G5020,S,850896703,1276944,36.5606474,-98.3171198,0.078106727,852173658.7,2912,78.5,60000,68118,10.6,20.2,88.7
1129,40,5,587600,40005587600,5876,Census Tract 5876,G5020,S,941855764,20086590,34.524702,-95.9523082,0.039399236,961942429.5,1773,60.24,48333,66595,15.4,15.6,83
1128,40,5,587700,40005587700,5877,Census Tract 5877,G5020,S,162899801,8511036,34.4130287,-96.1342031,0.784996341,171410846.5,4133,62.35,37103,60772,12,18.3,77.8
1131,40,5,587800,40005587800,5878,Census Tract 5878,G5020,S,651879841,4814761,34.2589606,-96.2888031,0.236776175,656694663.3,3981,71.67,48952,68157,16.5,12.7,81.5
1130,40,5,587900,40005587900,5879,Census Tract 5879,G5020,S,769757502,3876454,34.2491624,-95.9645439,0.103369179,773633979.5,4256,70.07,48350,61202,14.9,18.1,78.1
851,40,7,951600,40007951600,9516,Census Tract 9516,G5020,S,1971018179,6122262,36.8777411,-100.4680246,0.024957151,1977140685,2591,69.32,63245,74665,17,16.9,87
853,40,7,951700,40007951700,9517,Census Tract 9517,G5020,S,2710575211,1224899,36.6637874,-100.4440844,0.019720917,2711800210,1063,91.25,64063,77639,37.8,11.2,87.2
852,40,7,951800,40007951800,9518,Census Tract 9518,G5020,S,18813683,0,36.8077914,-100.5344068,0.376035765,18813677.67,1395,74.91,53333,64176,15.8,15.5,84.1
926,40,9,966100,40009966100,9661,Census Tract 9661,G5020,S,107432878,986389,35.4055234,-99.3890932,6.112576998,108419277.5,7393,76.25,53661,66916,14.1,9,85.6
963,40,9,966200,40009966200,9662,Census Tract 9662,G5020,S,369882149,1062571,35.4019771,-99.4938324,2.761551244,370944749.6,7078,82.88,47484,69303,22.3,11.7,79.9
930,40,9,966500,40009966500,9665,Census Tract 9665,G5020,S,978933282,527167,35.2276245,-99.8748282,0.02815364,979460526.7,1670,87.9,48657,62084,21.4,15.6,87.2
929,40,9,966800,40009966800,9668,Census Tract 9668,G5020,S,879080415,2945617,35.2406316,-99.5850657,0.380914729,882026079.7,6269,72.55,47935,71106,7,23,86.8
418,40,11,958600,40011958600,9586,Census Tract 9586,G5020,S,378911853,61293,36.0937039,-98.3258038,0.01845166,378973149,1400,84.43,53151,58466,18.7,20.4,90.2
417,40,11,958700,40011958700,9587,Census Tract 9587,G5020,S,335543749,25632007,36.0511088,-98.5642231,0.035300686,361175779.4,1488,77.89,54803,75852,23.4,8.4,93.9
419,40,11,958800,40011958800,9588,Census Tract 9588,G5020,S,1076751844,423903,35.7903215,-98.3220226,0.392518273,1077175806,1135,87.84,89716,105544,21.8,5.3,88
420,40,11,958900,40011958900,9589,Census Tract 9589,G5020,S,68891876,118142,35.8543991,-98.4108971,2,69010002.66,3030,60.76,44982,83856,10.7,22.9,86.6
421,40,11,959000,40011959000,9590,Census Tract 9590,G5020,S,544673427,620086,35.6205592,-98.4823728,0.043130325,545293535,1682,76.34,50104,70329,21.5,15,85.3
230,40,13,795600,40013795600,7956,Census Tract 7956,G5020,S,811762571,17460384,33.9489124,-96.0693963,0,829223007,2479,68.7,38750,62281,21.8,14.3,84.6
1039,40,13,795700,40013795700,7957,Census Tract 7957,G5020,S,449661118,1719272,34.0640993,-96.2135936,0.857815641,451380418.6,3527,72.27,50366,64350,19.7,14.7,82.1
1037,40,13,795900,40013795900,7959,Census Tract 7959,G5020,S,216768384,9086510,33.7924798,-96.3283284,0.00330541,225854907.6,1607,74.05,50833,66218,22.6,15.6,83.1
125,40,13,796002,40013796002,7960.02,Census Tract 7960.02,G5020,S,245409548,3675597,33.9238709,-96.3386037,3.984945134,249085161.2,5305,64.62,48705,59851,23.7,11,79.1
748,40,13,796003,40013796003,7960.03,Census Tract 7960.03,G5020,S,242395555,18887289,34.0703897,-96.4628465,2.873852207,261282860.2,4525,68.73,67531,80025,24.1,10.8,83.6
