GEOID,Total count,Optometry_count,Ophthalmology_count,Others_count,NAMESLAD,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured,index,TRACTCE,POPULATION_x,Clean Zip,Full Address,Optometry,Distances,BlackPerc,AsianPerc,Median Age,HispPerc,PercVisionDisab,DistancesLog,BelowPovertyPerc
17031010100,3,3,0,0,Census Tract 101,4905,33.68,60316,69746,51.1,12.1,85.3,987,10100,4403,62380,65 N COUNTY ROAD 1800  WEST POINT IL 62380,TRUE,16751.61,44.59,3.14,37.9,15.2,4,4.22406,26.7
17031010201,12,7,5,0,Census Tract 102.01,6939,26.4,43750,62192,32.8,14.2,89.2,2335,10201,6939,60202,525 HOWARD ST FL 1 EVANSTON IL 60202,TRUE,553.32,37.09,5.42,36.5,23.4,2,2.74297,35.3
17031010202,3,3,0,0,Census Tract 102.02,2742,39.31,45096,58572,36.4,18.7,77.7,2339,10202,2742,60202,525 HOWARD ST FL 1 EVANSTON IL 60202,TRUE,523.42,27.97,5.36,35.8,26.3,5,2.71885,18.2
17031010300,3,3,0,0,Census Tract 103,6305,46.99,60846,71497,43.5,12.9,76.4,1318,10300,6674,61008,304 N STATE ST  BELVIDERE IL 61008,TRUE,2069.82,28.2,5.27,48.2,15,1.9,3.31593,11.8
17031010400,7,6,1,0,Census Tract 104,5079,61.98,43024,58464,59,2.9,92.3,1145,10400,3605,62305,4929 OAK STREET  QUINCY IL 62305,TRUE,5472.77,12.21,11.2,25.9,7.9,0.8,3.73821,23.7
17031010501,3,3,0,0,Census Tract 105.01,4206,50.81,47364,65586,59.8,0.8,89.1,1402,10501,4501,61008,11124 COVINGTON PL  BELVIDERE IL 61008,TRUE,1427.08,25.25,7.94,33.8,7.7,3.2,3.15445,10.3
17031010502,3,3,0,0,Census Tract 105.02,3278,55.49,48831,64302,65.9,3.2,87.3,1398,10502,5795,61008,304 N STATE ST  BELVIDERE IL 61008,TRUE,4116.54,17.75,8.76,31.4,15.7,2.9,3.61453,23.4
17031010503,7,6,1,0,Census Tract 105.03,2565,54.85,16399,41540,43,17.2,98.1,2341,10503,2565,60626,1209 W ARTHUR AVE APT 415  CHICAGO IL 60626,TRUE,120.41,16.14,15.71,27.9,3.9,2,2.08065,55.3
17031010600,7,6,1,0,Census Tract 106,6225,52.69,58993,85113,63.2,6.5,89.6,1127,10600,5842,62305,3833 LANCASTER LN  QUINCY IL 62305,TRUE,1195.34,19.89,7.05,35.4,14.5,0,3.07749,18.4
17031010701,12,7,5,0,Census Tract 107.01,3673,39.8,64007,103099,42.4,15.9,82.6,1960,10701,3875,61803,P.O. BOX 6002  URBANA IL 61803,TRUE,14164,24.61,5.8,39.6,26.1,0.1,4.15119,9.5
17031010702,3,3,0,0,Census Tract 107.02,4776,30,48799,61339,43.8,20.8,86.2,1976,10702,3767,61803,P.O. BOX 6002  URBANA IL 61803,TRUE,15582.74,25.08,6.64,28.5,32,1.6,4.19264,19.0
17031020100,9,4,5,0,Census Tract 201,4202,27.63,50041,66970,32.8,18.2,81.8,2343,20100,4202,60645,7018-20 N WESTERN AVE  CHICAGO IL 60645,TRUE,776.78,33.17,11.68,37.6,25.1,2.9,2.8903,19.3
17031020200,9,4,5,0,Census Tract 202,7128,55.51,99987,128408,53.2,16,85.5,2377,20200,7128,60645,2950 W CHASE AVE  CHICAGO IL 60645,TRUE,405.71,10.98,18.07,35.1,26.9,0.5,2.60822,7.9
17031020301,9,4,5,0,Census Tract 203.01,5261,73.88,62917,80622,54.7,5.7,89.4,2386,20301,5261,60645,6801 N CALIFORNIA AVE  CHICAGO IL 60645,TRUE,524.22,3.14,14.43,37.1,5.6,2.8,2.71951,12.1
17031020302,9,4,5,0,Census Tract 203.02,5010,53.73,78987,129380,52.4,4.4,95.5,2352,20302,5010,60645,7018-20 N WESTERN AVE  CHICAGO IL 60645,TRUE,362.52,12.44,13.61,38.2,11.4,2.1,2.55933,7.0
17031020400,9,4,5,0,Census Tract 204,4435,39.98,63092,100666,51.8,12.9,81.2,2361,20400,4435,60645,7018-20 N WESTERN AVE  CHICAGO IL 60645,TRUE,406.18,22.05,14.45,39.5,28.3,1.3,2.60872,17.0
17031020500,36,26,9,2,Census Tract 205,6599,23.31,38271,47336,24.2,22.6,79.4,2395,20500,6599,60659,2605 W ROSEMONT AVE APT 2 CHICAGO IL 60659,TRUE,1064.36,23.46,30.58,34.9,24.9,3.4,3.02709,29.2
17031020601,29,20,8,2,Census Tract 206.01,6699,47.4,57250,82808,57.9,10.3,92,2421,20601,6699,60659,3104 W DEVON AVE  CHICAGO IL 60659,TRUE,515.09,7.18,26.8,32.7,4.3,2.9,2.71188,27.6
17031020602,29,20,8,2,Census Tract 206.02,4662,32.52,78293,103561,57.6,10.8,81.4,2411,20602,4662,60659,2605 W ROSEMONT AVE APT 2 CHICAGO IL 60659,TRUE,645.8,10.75,30.09,34.9,20.7,1,2.8101,7.5
17031020701,20,16,3,2,Census Tract 207.01,1879,54.6,83571,107002,64.1,7.8,95.5,2423,20701,1879,60659,3100 W PETERSON AVE  CHICAGO IL 60659,TRUE,595.59,4.2,25.07,44.2,13.2,0.3,2.77495,10.9
17031020702,29,20,8,2,Census Tract 207.02,7717,39.12,55451,73844,29.7,23.3,95.5,2422,20702,7717,60659,3104 W DEVON AVE  CHICAGO IL 60659,TRUE,464.81,8.64,32.67,30.5,28,1.1,2.66728,13.2
17031020801,20,16,3,2,Census Tract 208.01,5648,42.4,57127,79892,29.6,14.4,83.6,2412,20801,5648,60659,2605 W ROSEMONT AVE APT 2 CHICAGO IL 60659,TRUE,1049.94,7.08,24.73,38.9,24.2,1.1,3.02116,12.6
17031020802,29,20,8,2,Census Tract 208.02,7546,22.04,57224,84824,31.7,35.7,78.3,2416,20802,7546,60659,2605 W ROSEMONT AVE APT 2 CHICAGO IL 60659,TRUE,155.27,12.24,43.39,34.3,16.5,2.7,2.19109,18.3
17031020901,20,16,3,2,Census Tract 209.01,5848,19.84,47316,66200,36.1,21.7,75.7,2420,20901,5848,60659,2605 W ROSEMONT AVE APT 2 CHICAGO IL 60659,TRUE,695.08,24.56,31.46,34.9,22.8,1.9,2.84203,22.8
17031020902,24,19,4,2,Census Tract 209.02,4488,34.94,42816,54959,26.1,17.9,87,2424,20902,4488,60660,6200 N CLARK ST  CHICAGO IL 60660,TRUE,662.96,17.27,29.86,41.4,17.2,0.9,2.82149,28.3
17031030101,4,3,1,0,Census Tract 301.01,3687,50.12,40776,59913,44.2,12.8,87.7,2443,30101,3687,60660,6007 N SHERIDAN RD #33C CHICAGO IL 60660,TRUE,122.77,18.39,15.68,38.1,16.1,1.8,2.0891,18.8
17031030102,4,3,1,0,Census Tract 301.02,3121,52.13,47366,65085,49,14.1,89.2,2448,30102,3121,60660,1108 W GRANVILLE AVE  CHICAGO IL 60660,TRUE,227.25,17.01,14.87,44.4,11.7,1.5,2.35651,22.6
17031030103,4,3,1,0,Census Tract 301.03,2104,55.28,54519,75378,59.2,3.3,92.3,2449,30103,2104,60660,1108 W GRANVILLE AVE  CHICAGO IL 60660,TRUE,120.46,12.36,18.35,25.5,10.4,0.7,2.08085,13.3
17031030104,4,3,1,0,Census Tract 301.04,3521,57.91,36318,56029,52.5,11.7,90.4,2450,30104,3521,60660,1108 W GRANVILLE AVE  CHICAGO IL 60660,TRUE,299.09,11.08,18.94,21.7,8.5,1.2,2.47581,30.4
17031030200,4,3,1,0,Census Tract 302,5627,70.75,92260,121631,65.7,4.4,85.8,2425,30200,5627,60660,6200 N CLARK ST  CHICAGO IL 60660,TRUE,428.47,6.22,6.93,35.2,22.1,2,2.63192,11.6
17031030300,4,3,1,0,Census Tract 303,3148,40.37,52382,98369,46.6,12,85.6,2434,30300,3148,60660,6200 N CLARK ST  CHICAGO IL 60660,TRUE,194.78,15.28,11.98,33.8,28,2.1,2.28954,17.7
17031030400,4,3,1,0,Census Tract 304,2597,57.68,92650,120158,58.2,4,88.9,2451,30400,2597,60640,5509 N PAULINA ST APT 1 CHICAGO IL 60640,TRUE,605.51,8.74,8.89,41.7,33.1,1.5,2.78212,16.7
