GEOID,Census Tracts,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured
40001376600,"Census Tract 3766, Adair County, Oklahoma",2331,57.06,35814,53186,9.3,15.0,76.0
40001376700,"Census Tract 3767, Adair County, Oklahoma",4654,50.52,44746,52684,7.4,15.1,76.3
40001376800,"Census Tract 3768, Adair County, Oklahoma",3848,35.03,44732,59727,14.5,17.3,74.3
40001376900,"Census Tract 3769, Adair County, Oklahoma",4305,28.18,27524,36742,11.1,28.4,76.6
40001377000,"Census Tract 3770, Adair County, Oklahoma",4357,32.20,38914,51809,10.7,19.2,71.1
40003955600,"Census Tract 9556, Alfalfa County, Oklahoma",1445,89.97,63889,76631,34.1,10.6,88.8
40003955700,"Census Tract 9557, Alfalfa County, Oklahoma",1342,88.30,74074,79432,29.3,6.2,89.4
40003956000,"Census Tract 9560, Alfalfa County, Oklahoma",2912,78.50,60000,68118,10.6,20.2,88.7
40005587600,"Census Tract 5876, Atoka County, Oklahoma",1773,60.24,48333,66595,15.4,15.6,83.0
40005587700,"Census Tract 5877, Atoka County, Oklahoma",4133,62.35,37103,60772,12.0,18.3,77.8
40005587800,"Census Tract 5878, Atoka County, Oklahoma",3981,71.67,48952,68157,16.5,12.7,81.5
40005587900,"Census Tract 5879, Atoka County, Oklahoma",4256,70.07,48350,61202,14.9,18.1,78.1
40007951600,"Census Tract 9516, Beaver County, Oklahoma",2591,69.32,63245,74665,17.0,16.9,87.0
40007951700,"Census Tract 9517, Beaver County, Oklahoma",1063,91.25,64063,77639,37.8,11.2,87.2
40007951800,"Census Tract 9518, Beaver County, Oklahoma",1395,74.91,53333,64176,15.8,15.5,84.1
40009966100,"Census Tract 9661, Beckham County, Oklahoma",7393,76.25,53661,66916,14.1,9.0,85.6
40009966200,"Census Tract 9662, Beckham County, Oklahoma",7078,82.88,47484,69303,22.3,11.7,79.9
40009966500,"Census Tract 9665, Beckham County, Oklahoma",1670,87.90,48657,62084,21.4,15.6,87.2
40009966800,"Census Tract 9668, Beckham County, Oklahoma",6269,72.55,47935,71106,7.0,23.0,86.8
40011958600,"Census Tract 9586, Blaine County, Oklahoma",1400,84.43,53151,58466,18.7,20.4,90.2
40011958700,"Census Tract 9587, Blaine County, Oklahoma",1488,77.89,54803,75852,23.4,8.4,93.9
40011958800,"Census Tract 9588, Blaine County, Oklahoma",1135,87.84,89716,105544,21.8,5.3,88.0
40011958900,"Census Tract 9589, Blaine County, Oklahoma",3030,60.76,44982,83856,10.7,22.9,86.6
40011959000,"Census Tract 9590, Blaine County, Oklahoma",1682,76.34,50104,70329,21.5,15.0,85.3
40013795600,"Census Tract 7956, Bryan County, Oklahoma",2479,68.70,38750,62281,21.8,14.3,84.6
40013795700,"Census Tract 7957, Bryan County, Oklahoma",3527,72.27,50366,64350,19.7,14.7,82.1
40013795900,"Census Tract 7959, Bryan County, Oklahoma",1607,74.05,50833,66218,22.6,15.6,83.1
40013796002,"Census Tract 7960.02, Bryan County, Oklahoma",5305,64.62,48705,59851,23.7,11.0,79.1
